"filename", "language", "Java", "XML", "Markdown", "CSS", "comment", "blank", "total"
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\libraries\lib.xml", "XML", 0, 10, 0, 0, 0, 0, 10
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\misc.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 8
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\runConfigurations.xml", "XML", 0, 10, 0, 0, 0, 0, 10
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\uiDesigner.xml", "XML", 0, 124, 0, 0, 0, 0, 124
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\README.md", "Markdown", 0, 0, 10, 0, 0, 9, 19
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\libraries\lib.xml", "XML", 0, 10, 0, 0, 0, 0, 10
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\misc.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 8
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\runConfigurations.xml", "XML", 0, 10, 0, 0, 0, 0, 10
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\uiDesigner.xml", "XML", 0, 124, 0, 0, 0, 0, 124
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\README.md", "Markdown", 0, 0, 10, 0, 0, 9, 19
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\bomber10.iml", "XML", 0, 12, 0, 0, 0, 0, 12
